Index,X,Y
532,75,580
533,107,641
534,92,746
535,247,270
536,852,375
537,777,349
538,477,200
539,147,374
540,887,214
541,364,319
542,34,641
543,232,291
544,595,318
545,299,320
546,42,549
547,812,362
548,985,383
549,403,361
550,735,311
551,623,259
552,97,673
553,16,568
554,722,167
555,879,157
556,702,389
557,224,682
558,55,679
559,58,601
560,11,434
561,777,399
562,313,226
563,885,395
564,985,196
565,84,570
566,896,389
567,60,437
568,79,735
569,701,318
570,964,44
571,69,709
572,774,388
573,65,539
574,996,389
575,708,133
576,25,543
577,794,350
578,142,645
579,119,597
580,692,353
581,214,380
582,712,129
583,763,343
584,54,402
585,981,431
586,88,556
587,303,333
588,21,431
589,388,361
590,16,639
591,22,656
592,254,373
593,864,392
594,822,172
595,195,684
596,839,417
597,622,193
598,750,333
599,58,663
600,76,335
601,120,574
602,93,395
603,154,415
604,93,656
605,147,687
606,4,418
607,218,268
608,709,142
609,148,617
610,886,388
611,203,722
612,10,423
613,150,697
614,234,268
615,795,132
616,30,572
617,72,656
618,880,398
619,722,396
620,715,340
621,798,356
622,254,723
623,32,672
624,814,134
625,17,742
626,657,152
627,889,211
628,777,336
629,654,153
630,839,385
631,918,238
632,718,324
633,341,724
634,934,227
635,659,325
636,813,131
637,22,584
638,741,407
639,36,694
640,221,733
641,743,400
642,231,326
643,844,170
644,230,252
645,734,358
646,3,368
647,60,692
648,774,416
649,718,320
650,890,405
651,16,583
652,947,370
653,189,730
654,731,411
655,6,732
656,282,308
657,879,291
658,710,309
659,871,171
660,103,639
661,925,373
662,230,307
663,167,692
664,93,720
665,210,696
666,670,146
667,81,661
668,844,388
669,112,394
670,735,407
671,294,726
672,119,740
673,58,547
674,744,407
675,723,292
676,95,583
677,22,713
678,99,393
679,98,571
680,742,334
681,866,170
682,58,629
683,57,538
684,23,439
685,869,170
686,945,371
687,761,349
688,181,742
689,79,740
690,85,583
691,225,658
692,32,638
693,160,737
694,14,745
695,68,623
696,245,373
