Index,X,Y
532,895,116
533,212,569
534,132,621
535,382,693
536,82,734
537,199,684
538,54,412
539,919,391
540,265,558
541,13,742
542,153,650
543,98,655
544,159,609
545,892,113
546,840,282
547,201,615
548,9,706
549,944,334
550,972,140
551,131,556
552,284,534
553,355,740
554,956,138
555,40,539
556,188,489
557,519,348
558,560,719
559,171,344
560,996,145
561,981,415
562,105,669
563,20,702
564,983,417
565,865,121
566,81,553
567,61,676
568,138,463
569,453,732
570,534,314
571,282,390
572,321,594
573,83,399
574,246,575
575,146,699
576,111,407
577,139,713
578,80,587
579,249,592
580,451,746
581,249,391
582,70,538
583,71,650
584,14,624
585,220,412
586,95,665
587,199,585
588,77,611
589,198,475
590,487,735
591,947,105
592,37,550
593,178,621
594,119,618
595,91,735
596,90,613
597,851,135
598,110,696
599,585,362
600,45,516
601,90,704
602,95,696
603,224,650
604,911,156
605,936,331
606,842,333
607,92,560
608,894,142
609,13,555
610,77,403
611,88,565
612,136,663
613,884,308
614,37,538
615,413,654
616,77,400
617,157,702
618,924,289
619,21,694
620,56,672
621,954,324
622,105,418
623,349,634
624,3,638
625,21,615
626,16,520
627,905,115
628,399,686
629,997,189
630,874,289
631,69,397
632,205,599
633,281,602
634,245,638
635,909,107
636,131,619
637,355,638
638,205,546
639,50,718
640,170,567
641,7,679
642,334,602
643,305,369
644,170,647
645,222,699
646,886,106
647,547,745
648,75,461
649,21,424
650,325,567
651,80,638
652,73,717
653,173,610
654,201,534
655,310,740
656,247,724
657,961,348
658,868,178
659,944,399
660,838,270
661,202,660
662,882,114
663,317,719
664,924,287
665,261,538
666,119,615
667,476,327
668,6,547
669,70,494
670,120,727
671,139,414
672,64,563
673,775,223
674,84,695
675,265,565
676,68,495
677,94,644
678,383,615
679,8,550
680,221,689
681,3,710
682,172,691
683,303,573
684,189,619
685,139,609
686,39,488
687,206,516
688,351,380
689,67,645
690,231,425
691,343,403
692,122,609
693,96,648
694,324,611
695,105,563
696,48,639
697,50,640
698,49,659
699,66,536
700,152,628
701,110,444
702,59,518
703,321,696
704,175,595
705,465,738
706,6,627
707,16,467
708,333,706
709,96,735
710,996,78
711,255,496
712,357,639
713,103,414
714,184,538
715,226,642
716,55,442
717,63,455
718,5,715
719,835,134
720,100,713
721,937,350
722,65,616
723,214,645
724,845,316
725,820,143
726,289,550
727,256,625
728,106,706
729,273,746
730,883,350
731,928,165
732,919,394
733,173,502
734,76,544
735,109,545
736,156,608
737,113,746
738,327,735
739,82,592
740,171,649
741,87,527
742,316,592
743,102,657
744,193,582
745,129,596
746,408,705
747,892,143
748,81,611
749,100,655
750,16,581
751,110,669
752,957,268
753,255,410
754,141,626
755,250,696
756,98,563
757,943,375
758,35,523
759,98,649
760,71,484
761,33,683
762,3,507
763,113,673
764,331,705
765,907,113
766,99,437
767,8,575
768,73,577
769,309,643
770,463,711
771,33,541
772,261,684
773,199,637
774,220,687
775,115,673
776,117,632
777,148,696
778,63,411
779,368,704
780,160,707
781,90,571
782,372,654
783,261,734
